=== 个性化信任共识模型 - 多次仿真汇总 ===

仿真总数: 500
成功仿真数: 500

各仿真关键指标:
仿真编号 | 反馈次数 | 是否收敛 | 平均共识度 | 决策者分类
 217 |      0 |    是     |   0.9257 | {'Con': [0, 2, 4], 'Neu': [3], 'Rad': [1]}
 218 |      0 |    是     |   0.9276 | {'Con': [0, 1, 3, 4], 'Neu': [], 'Rad': [2]}
 219 |      1 |    是     |   0.9262 | {'Con': [0, 1, 3, 4], 'Neu': [], 'Rad': [2]}
 220 |      0 |    是     |   0.9297 | {'Con': [1, 2, 3], 'Neu': [0, 4], 'Rad': []}
 221 |      0 |    是     |   0.9212 | {'Con': [0, 2, 4], 'Neu': [], 'Rad': [1, 3]}
 222 |      2 |    是     |   0.9172 | {'Con': [0, 2, 3, 4], 'Neu': [1], 'Rad': []}
 223 |      0 |    是     |   0.9149 | {'Con': [0, 2, 3, 4], 'Neu': [], 'Rad': [1]}
 224 |      0 |    是     |   0.9301 | {'Con': [0, 1, 2, 3], 'Neu': [], 'Rad': [4]}
 225 |      0 |    是     |   0.9130 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 226 |      3 |    是     |   0.9235 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 227 |      1 |    是     |   0.9148 | {'Con': [0, 1, 2, 3], 'Neu': [4], 'Rad': []}
 228 |      1 |    是     |   0.9436 | {'Con': [4], 'Neu': [2], 'Rad': [0, 1, 3]}
 229 |      0 |    是     |   0.9224 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 230 |      0 |    是     |   0.9246 | {'Con': [0, 1, 4], 'Neu': [], 'Rad': [2, 3]}
 231 |      0 |    是     |   0.9225 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 232 |      1 |    是     |   0.9197 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 233 |      0 |    是     |   0.9083 | {'Con': [0, 1, 2, 4], 'Neu': [], 'Rad': [3]}
 234 |      2 |    是     |   0.9216 | {'Con': [0, 1, 2, 3], 'Neu': [], 'Rad': [4]}
 235 |      1 |    是     |   0.9230 | {'Con': [2, 3, 4], 'Neu': [1], 'Rad': [0]}
 236 |      0 |    是     |   0.9286 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 237 |      0 |    是     |   0.9359 | {'Con': [0, 1, 3], 'Neu': [2], 'Rad': [4]}
 238 |      1 |    是     |   0.9274 | {'Con': [0, 2, 3, 4], 'Neu': [], 'Rad': [1]}
 239 |      2 |    是     |   0.9279 | {'Con': [0, 2, 3], 'Neu': [1], 'Rad': [4]}
 240 |      0 |    是     |   0.9379 | {'Con': [0, 2, 4], 'Neu': [3], 'Rad': [1]}
 241 |      0 |    是     |   0.9189 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 242 |      0 |    是     |   0.9228 | {'Con': [0, 1, 3, 4], 'Neu': [], 'Rad': [2]}
 243 |      0 |    是     |   0.9458 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 244 |      2 |    是     |   0.9279 | {'Con': [0, 1, 2, 3, 4], 'Neu': [], 'Rad': []}
 245 |      0 |    是     |   0.9299 | {'Con': [1, 2, 3, 4], 'Neu': [], 'Rad': [0]}
 246 |      1 |    是     |   0.9304 | {'Con': [1, 2, 3], 'Neu': [0], 'Rad': [4]}
 247 |      0 |    是     |   0.9166 | {'Con': [0, 2, 3, 4], 'Neu': [1], 'Rad': []}
 248 |      1 |    是     |   0.9450 | {'Con': [2], 'Neu': [1], 'Rad': [0, 3, 4]}
